X,Y,ObjectId,tid,stanoviste_ogc_fid,typ_odpad_separovany,komodita_odpad_separovany,objem,cyklus_vyvozu,majitel,vyvoz_1,vyvoz_2,vyvoz_3,vyvoz_4,vyvoz_5,vyvoz_6,vyvoz_7,vyvoz_1_zacatek,vyvoz_2_zacatek,vyvoz_3_zacatek,vyvoz_4_zacatek,vyvoz_5_zacatek,vyvoz_6_zacatek,vyvoz_7_zacatek,vyvoz_1_interval,vyvoz_2_interval,vyvoz_3_interval,vyvoz_4_interval,vyvoz_5_interval,vyvoz_6_interval,vyvoz_7_interval,nazev,ulice,cp,verejnost,datum_exportu,GlobalID
1856890.37,6311213.611,1,25533,3893,,Biologický odpad,240,1x týdně,SAKO,A,N,N,N,N,N,N,2022/02/07 00:00:00+00,,,,,,,7,,,,,,,Horníkova 32c,Horníkova,2965,A,2023/05/16 00:00:00+00,{9C953DBE-2A9B-4DAA-9291-9D5BE96EAEFD}
1847264.084,6306325.781,2,26301,8260,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2019/01/17 00:00:00+00,,,,,,,7,,,,Kamenná 4a - v domě,Kamenná,175,N,2023/05/16 00:00:00+00,{FD0C0397-0119-442B-A5DB-4446937449E1}
1849871.631,6311656.489,3,25545,10722,,Papír,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2022/02/18 00:00:00+00,,,,,,,7,,,Bieblova 17 - v domě,Bieblova,1759,N,2023/05/16 00:00:00+00,{8ACA9B9F-7AE1-4D3E-B5BC-B224B91BE498}
1850555.011,6314501.188,4,22368,3092,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,A,N,N,N,N,N,N,2019/04/08 00:00:00+00,,,,,,,14,,,,,,,Haškova 5,Haškova,142,A,2023/05/16 00:00:00+00,{0A8AADBA-BAE0-4617-AFFC-DCD82D2C7EC9}
1848598.704,6309371.969,5,23012,10099,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/09/10 00:00:00+00,,,,,,,7,,,,Cihlářská 1a - v domě,Cihlářská,623,N,2023/05/16 00:00:00+00,{1EADFEA3-35FD-4FBE-8579-8D964883F78C}
1848447.81,6308748.336,6,20942,6971,,Papír,240,2x týdně,SAKO,N,A,N,N,A,N,N,,2020/09/08 00:00:00+00,,,2019/01/11 00:00:00+00,,,,7,,,7,,,Kounicova 1 - v domě,Kounicova,944,N,2023/05/16 00:00:00+00,{6FC1D98B-9F9A-4152-B91D-E7191BF6C0DF}
1849860.778,6308415.456,7,23359,10211,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2022/10/26 00:00:00+00,,,,,,,7,,,,,Cejl 21 - v domě,Cejl,490,N,2023/05/16 00:00:00+00,{1287DD07-9BBE-465A-8079-C331C3173BF1}
1847095.234,6308596.034,8,25430,7061,,Biologický odpad,240,1x14 sudý,SAKO,N,N,A,N,N,N,N,,,2021/12/01 00:00:00+00,,,,,,,14,,,,,Údolní 42 - v domě,Údolní,403,N,2023/05/16 00:00:00+00,{4E5F3D73-EA65-4D51-853A-D019894A4504}
1843729.679,6305739.993,9,25057,10596,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/04/20 00:00:00+00,,,,,,,7,,,,,,Rybnická 53,Rybnická,100,A,2023/05/16 00:00:00+00,{2AC042E1-6833-4014-B5A4-9ABE446E3848}
1847109.55,6309807.304,10,23309,7569,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2019/01/11 00:00:00+00,,,,,,,7,,,Rybkova 3 - v domě,Rybkova,333,N,2023/05/16 00:00:00+00,{DCEAD5A2-D70C-40EF-9267-870ED7F805B1}
1843729.679,6305739.993,11,25058,10596,,Biologický odpad,240,1x týdně,SAKO,N,A,N,N,N,N,N,,2021/04/20 00:00:00+00,,,,,,,7,,,,,,Rybnická 53,Rybnická,100,A,2023/05/16 00:00:00+00,{7D5EC093-0BEA-496C-A79D-42756F7DD2C0}
1852687.358,6315355.702,12,23308,4970,,Papír,1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/02/02 00:00:00+00,,,2021/02/05 00:00:00+00,,,,7,,,7,,,Fantova 13,Fantova,714,A,2023/05/16 00:00:00+00,{E99921E5-2904-4D99-B074-A5DE08ADB653}
1843272.256,6303920.591,13,23347,10204,,Sklo barevné,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/10/15 00:00:00+00,,,,,,,7,,,,Labská 29,Labská,152,A,2023/05/16 00:00:00+00,{1140988E-30B7-45B5-94D2-81D6D55938D0}
1851052.041,6314856.762,14,23322,3463,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Dusíkova x Majdalenky,Majdalenky,844,A,2023/05/16 00:00:00+00,{15D3413E-B12C-4D2C-A378-11D657F4037F}
1847529.202,6309812.722,15,16200,6609,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/09/24 00:00:00+00,,,,,,,7,,,,Kotlářská 9 - TŘÍĎOUN,Kounicova,263,N,2023/05/16 00:00:00+00,{56784F3E-56DE-4A34-855D-06902C7A64C8}
1839956.126,6312984.375,16,21997,2430,,Papír,1100,2x týdně,SAKO,N,A,N,N,A,N,N,,2021/04/27 00:00:00+00,,,2021/04/30 00:00:00+00,,,,7,,,7,,,Vondrákova 8,Vondrákova,625,A,2023/05/16 00:00:00+00,{B8819014-D6F9-4CB9-95B3-8522410B9E5C}
1850042.24,6310855.243,17,23358,10208,,Sklo barevné,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2020/10/16 00:00:00+00,,,,,,,7,,,Antala Staška 14,Antala Staška,59,A,2023/05/16 00:00:00+00,{5ACD932F-F024-40C7-A15E-E158753E9889}
1847529.202,6309812.722,18,16199,6609,,Papír,1100,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2020/09/25 00:00:00+00,,,,,,,7,,,Kotlářská 9 - TŘÍĎOUN,Kounicova,263,N,2023/05/16 00:00:00+00,{97776028-8FBF-41FD-B3FD-A72D23539928}
1849252.183,6310027.408,19,13299,2538,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,4x týdně,SAKO,A,N,N,A,N,A,A,2019/01/14 00:00:00+00,,,2020/09/24 00:00:00+00,,2019/08/03 00:00:00+00,2019/01/13 00:00:00+00,7,,,7,,7,7,Drobného x Schodová,Drobného,305,A,2023/05/16 00:00:00+00,{1DE4C58A-ADE4-4D04-AA59-E56F7CBDDBB7}
1850042.24,6310855.243,20,23357,10208,,Sklo barevné,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2020/10/16 00:00:00+00,,,,,,,7,,,Antala Staška 14,Antala Staška,59,A,2023/05/16 00:00:00+00,{AFC849FB-9F50-45C5-988E-D346AAE1A5F1}
1845182.287,6309089.288,21,23337,3817,,Papír,1100,3x týdně,SAKO,A,N,A,N,N,A,N,2019/01/14 00:00:00+00,,2019/04/10 00:00:00+00,,,2019/04/13 00:00:00+00,,7,,7,,,7,,Barvičova 98,Dostálova,70,A,2023/05/16 00:00:00+00,{9D25912F-5153-4318-A36F-8E5070284D91}
1847009.151,6301270.129,22,23368,3083,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,1x týdně,SAKO,N,N,A,N,N,N,N,,,2021/02/03 00:00:00+00,,,,,,,7,,,,,Rozhraní  6,Rozhraní,144,A,2023/05/16 00:00:00+00,{188F59E2-8E33-446B-8D7B-90018F266A2E}
1845182.287,6309089.288,23,23338,3817,,Papír,1100,3x týdně,SAKO,A,N,A,N,N,A,N,2019/01/14 00:00:00+00,,2019/04/10 00:00:00+00,,,2019/04/13 00:00:00+00,,7,,7,,,7,,Barvičova 98,Dostálova,70,A,2023/05/16 00:00:00+00,{F85AF92E-F209-4017-B5EC-50EB2CA1C7A4}
1848451.785,6309918.105,24,23329,6988,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/09/24 00:00:00+00,,,,,,,7,,,,Lidická 69 - v domě,Lidická,714,N,2023/05/16 00:00:00+00,{9DE150D6-A54E-4BF0-BB34-AEBE0B54BF0A}
1846824.049,6313595.554,25,23328,10201,,Papír,1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Bulharská 62 - TŘÍĎOUN,Bulharská,2001,N,2023/05/16 00:00:00+00,{2A09E5B4-3474-4D32-91E4-C21B1C8A2210}
1845730.546,6309172.054,26,23342,10203,,Papír,1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Lerchova 65 - TŘÍĎOUN,Rudišova,344,N,2023/05/16 00:00:00+00,{C4CAA36A-E43C-42F3-BEA1-2E5538B71A47}
1845730.546,6309172.054,27,23341,10203,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Lerchova 65 - TŘÍĎOUN,Rudišova,344,N,2023/05/16 00:00:00+00,{4EEB4574-143B-46F1-ABCD-77CA3E7A4E41}
1845523.18,6308678.182,28,11151,3818,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,3x týdně,SAKO,A,N,N,A,N,A,N,2021/02/01 00:00:00+00,,,2021/02/04 00:00:00+00,,2021/02/06 00:00:00+00,,7,,,7,,7,,Barvičova 53,Barvičova,833,A,2023/05/16 00:00:00+00,{52C8BB22-5B27-46BA-8E32-D10712B9A892}
1846824.049,6313595.554,29,23327,10201,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",1100,Na výzvu,SAKO,N,N,N,N,N,N,N,,,,,,,,,,,,,,,Bulharská 62 - TŘÍĎOUN,Bulharská,2001,N,2023/05/16 00:00:00+00,{5058998B-9050-496D-938B-F9BBE2A16F69}
1848014.199,6309021.073,30,23306,10195,,Papír,240,1x týdně,SAKO,N,N,N,N,A,N,N,,,,,2020/09/11 00:00:00+00,,,,,,,7,,,Smetanova 4 - v domě,Smetanova,342,N,2023/05/16 00:00:00+00,{F0A53B4F-70E1-4253-9B0E-59963B6DF1B8}
1843272.256,6303920.591,31,23346,10204,,Sklo barevné,240,1x týdně,SAKO,N,N,N,A,N,N,N,,,,2020/10/15 00:00:00+00,,,,,,,7,,,,Labská 29,Labská,152,A,2023/05/16 00:00:00+00,{ADAB4514-03DF-4F58-955F-F6B753541751}
1846977.425,6309744.348,32,12131,3541,,Papír,1100,3x týdně,SAKO,A,N,N,A,N,A,N,2019/01/14 00:00:00+00,,,2019/01/17 00:00:00+00,,2020/10/17 00:00:00+00,,7,,,7,,7,,Rybkova x Žižkova,Rybkova,1017,A,2023/05/16 00:00:00+00,{23CF9DF3-81FD-44A8-8869-855A75DFFC60}
1844802.131,6303090.56,33,23344,4028,Sklo duo - barevné,Sklo barevné,1125,1x14 lichý,SAKO,N,N,A,N,N,N,N,,,2022/02/16 00:00:00+00,,,,,,,14,,,,,Souhrady 8,Žlíbek,485,A,2023/05/16 00:00:00+00,{BB87DE48-F758-4E0E-B6DE-7E15796ECD78}
1848973.906,6308200.317,34,23348,10205,,Papír,240,1x týdně,SAKO,A,N,N,N,N,N,N,2020/10/19 00:00:00+00,,,,,,,7,,,,,,,Kozí 8- v domě,Kozí,684,N,2023/05/16 00:00:00+00,{3283D694-111E-49F7-954D-8681C526967A}
1850561.2,6307762.885,35,23352,10207,,Papír,240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2020/10/14 00:00:00+00,,,,,,,7,,,,,Stavební 15- v domě,Stavební,29,N,2023/05/16 00:00:00+00,{2DEF3028-7A24-4F53-9BA9-D0E2E1E6138C}
1850561.2,6307762.885,36,23353,10207,,"Plasty, nápojové kartony a hliníkové plechovky od nápojů",240,1x týdně,SAKO,N,N,A,N,N,N,N,,,2020/10/14 00:00:00+00,,,,,,,7,,,,,Stavební 15- v domě,Stavební,29,N,2023/05/16 00:00:00+00,{BDFFD255-391B-4EF8-B2E8-42C496A773A2}
